deck,p_habit,metric,n_pairs,mean_gap_delta,std_gap_delta,ci_low,ci_high,direction
both,0.3,chardist_max,20,-0.007590714694,0.01139314298,-0.01242940303,-0.002775418569,better
both,0.3,chardist_shape,20,0.0004468336598,0.005938840109,-0.00217805308,0.00283024892,worse
both,0.3,ngramdist_max,20,-0.004867848489,0.007471006516,-0.008114728725,-0.001763589086,better
both,0.3,ngramdist_shape,20,0.008129286998,0.002357143381,0.007110440539,0.009143636054,worse
both,0.3,charbias_mean,20,0.01050641923,0.03004509468,-0.002225762674,0.02407319281,worse
both,0.3,charbias_std,20,0.01029655052,0.04553399762,-0.009284658212,0.02976695973,worse
both,0.3,charbias_skew,20,0.09371928455,0.1261210493,0.04000142379,0.1487645355,worse
both,0.3,charbias_words_mean,20,0.01353769835,0.02847012513,0.001425122396,0.02536946007,worse
both,0.3,charbias_words_std,20,0.04066326841,0.04107629744,0.02258984479,0.05790447678,worse
both,0.3,charbias_words_skew,20,0.0139654212,0.02391241666,0.003987962192,0.0243450155,worse
both,0.3,unique_words,20,-0.207401231,0.03100158083,-0.2202894934,-0.1940240852,better
both,0.3,repeated_words,20,-0.06201161821,0.06708153345,-0.09123652188,-0.03402907438,better
both,0.3,tripled_words,20,-0.003046269003,0.01362332914,-0.009138807008,0,better
both,0.3,unique_chars,20,0.00531666337,0.008928854355,0.001479419373,0.009200139223,worse
both,0.3,repeated_chars,20,-0.001913238451,0.01450590992,-0.008237155044,0.004400132518,better
both,0.3,tripled_chars,20,-0.0002302258292,0.01397628046,-0.006584850562,0.005466556243,better
both,0.3,unique_ngrams,20,0.02683841248,0.01058584542,0.02219434471,0.03120422982,worse
both,0.3,entropy,20,-0.1149395079,0.03729774433,-0.1308438044,-0.09808657243,better
both,0.3,compression,20,-0.04982414151,0.01009683234,-0.05395255087,-0.04540090383,better
both,0.3,zipf,20,-0.1335166791,0.2580009671,-0.2449889743,-0.02315437172,better
both,0.3,flipped_pairs,20,-0.100988393,0.04914896876,-0.1224968114,-0.08035909034,better
both,0.5,wordlen_mean,20,0.005591589187,0.01940704608,-0.002636194345,0.01383345852,worse
